id,dificuldade,llm,modelo_id,data_coleta,hora_coleta,status,http_status,arquivo_bruto,arquivo_teste,observacao
CT01,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:21:08,ok,200,04-respostas-llms/chatgpt/facil/CT01_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT01_chatgpt.test.js,
CT01,facil,Claude,claude-sonnet-5,2026-09-03,20:44:20,ok,200,04-respostas-llms/claude/facil/CT01_claude.raw.txt,04-respostas-llms/claude/facil/CT01_claude.test.js,
CT01,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,21:34:07,ok,200,04-respostas-llms/gemini/facil/CT01_gemini.raw.txt,04-respostas-llms/gemini/facil/CT01_gemini.test.js,
CT02,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:27:25,ok,200,04-respostas-llms/chatgpt/facil/CT02_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT02_chatgpt.test.js,
CT02,facil,Claude,claude-sonnet-5,2026-09-03,20:46:07,ok,200,04-respostas-llms/claude/facil/CT02_claude.raw.txt,04-respostas-llms/claude/facil/CT02_claude.test.js,
CT02,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,22:32:13,ok,200,04-respostas-llms/gemini/facil/CT02_gemini.raw.txt,04-respostas-llms/gemini/facil/CT02_gemini.test.js,
CT03,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:27:34,ok,200,04-respostas-llms/chatgpt/facil/CT03_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT03_chatgpt.test.js,
CT03,facil,Claude,claude-sonnet-5,2026-09-03,20:46:22,ok,200,04-respostas-llms/claude/facil/CT03_claude.raw.txt,04-respostas-llms/claude/facil/CT03_claude.test.js,
CT03,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,22:33:21,ok,200,04-respostas-llms/gemini/facil/CT03_gemini.raw.txt,04-respostas-llms/gemini/facil/CT03_gemini.test.js,
CT04,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:27:49,ok,200,04-respostas-llms/chatgpt/facil/CT04_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT04_chatgpt.test.js,
CT04,facil,Claude,claude-sonnet-5,2026-09-03,20:46:37,ok,200,04-respostas-llms/claude/facil/CT04_claude.raw.txt,04-respostas-llms/claude/facil/CT04_claude.test.js,
CT04,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,22:21:43,ok,200,04-respostas-llms/gemini/facil/CT04_gemini.raw.txt,04-respostas-llms/gemini/facil/CT04_gemini.test.js,
CT05,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:27:59,ok,200,04-respostas-llms/chatgpt/facil/CT05_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT05_chatgpt.test.js,
CT05,facil,Claude,claude-sonnet-5,2026-09-03,20:46:52,ok,200,04-respostas-llms/claude/facil/CT05_claude.raw.txt,04-respostas-llms/claude/facil/CT05_claude.test.js,
CT05,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,21:38:59,ok,200,04-respostas-llms/gemini/facil/CT05_gemini.raw.txt,04-respostas-llms/gemini/facil/CT05_gemini.test.js,
CT06,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:09,ok,200,04-respostas-llms/chatgpt/facil/CT06_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT06_chatgpt.test.js,
CT06,facil,Claude,claude-sonnet-5,2026-09-03,20:47:06,ok,200,04-respostas-llms/claude/facil/CT06_claude.raw.txt,04-respostas-llms/claude/facil/CT06_claude.test.js,
CT06,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,21:40:00,ok,200,04-respostas-llms/gemini/facil/CT06_gemini.raw.txt,04-respostas-llms/gemini/facil/CT06_gemini.test.js,
CT07,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:16,ok,200,04-respostas-llms/chatgpt/facil/CT07_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT07_chatgpt.test.js,
CT07,facil,Claude,claude-sonnet-5,2026-09-03,20:47:14,ok,200,04-respostas-llms/claude/facil/CT07_claude.raw.txt,04-respostas-llms/claude/facil/CT07_claude.test.js,
CT07,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,21:41:11,ok,200,04-respostas-llms/gemini/facil/CT07_gemini.raw.txt,04-respostas-llms/gemini/facil/CT07_gemini.test.js,
CT08,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:28,ok,200,04-respostas-llms/chatgpt/facil/CT08_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT08_chatgpt.test.js,
CT08,facil,Claude,claude-sonnet-5,2026-09-03,20:47:30,ok,200,04-respostas-llms/claude/facil/CT08_claude.raw.txt,04-respostas-llms/claude/facil/CT08_claude.test.js,
CT08,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,21:42:02,ok,200,04-respostas-llms/gemini/facil/CT08_gemini.raw.txt,04-respostas-llms/gemini/facil/CT08_gemini.test.js,
CT09,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:37,ok,200,04-respostas-llms/chatgpt/facil/CT09_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT09_chatgpt.test.js,
CT09,facil,Claude,claude-sonnet-5,2026-09-03,20:47:41,ok,200,04-respostas-llms/claude/facil/CT09_claude.raw.txt,04-respostas-llms/claude/facil/CT09_claude.test.js,
CT09,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,22:35:06,ok,200,04-respostas-llms/gemini/facil/CT09_gemini.raw.txt,04-respostas-llms/gemini/facil/CT09_gemini.test.js,
CT10,facil,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:48,ok,200,04-respostas-llms/chatgpt/facil/CT10_chatgpt.raw.txt,04-respostas-llms/chatgpt/facil/CT10_chatgpt.test.js,
CT10,facil,Claude,claude-sonnet-5,2026-09-03,20:47:51,ok,200,04-respostas-llms/claude/facil/CT10_claude.raw.txt,04-respostas-llms/claude/facil/CT10_claude.test.js,
CT10,facil,Gemini,gemini-3.1-pro-preview,2026-09-03,21:42:48,ok,200,04-respostas-llms/gemini/facil/CT10_gemini.raw.txt,04-respostas-llms/gemini/facil/CT10_gemini.test.js,
CT11,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:52,ok,200,04-respostas-llms/chatgpt/medio/CT11_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT11_chatgpt.test.js,
CT11,medio,Claude,claude-sonnet-5,2026-09-03,20:48:04,ok,200,04-respostas-llms/claude/medio/CT11_claude.raw.txt,04-respostas-llms/claude/medio/CT11_claude.test.js,
CT11,medio,Gemini,gemini-3.1-pro-preview,2026-09-03,21:43:47,ok,200,04-respostas-llms/gemini/medio/CT11_gemini.raw.txt,04-respostas-llms/gemini/medio/CT11_gemini.test.js,
CT12,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:28:58,ok,200,04-respostas-llms/chatgpt/medio/CT12_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT12_chatgpt.test.js,
CT12,medio,Claude,claude-sonnet-5,2026-09-03,20:48:14,ok,200,04-respostas-llms/claude/medio/CT12_claude.raw.txt,04-respostas-llms/claude/medio/CT12_claude.test.js,
CT12,medio,Gemini,gemini-3.1-pro-preview,2026-09-03,21:44:45,ok,200,04-respostas-llms/gemini/medio/CT12_gemini.raw.txt,04-respostas-llms/gemini/medio/CT12_gemini.test.js,
CT13,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:29:06,ok,200,04-respostas-llms/chatgpt/medio/CT13_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT13_chatgpt.test.js,
CT13,medio,Claude,claude-sonnet-5,2026-09-03,20:48:23,ok,200,04-respostas-llms/claude/medio/CT13_claude.raw.txt,04-respostas-llms/claude/medio/CT13_claude.test.js,
CT13,medio,Gemini,gemini-3.1-pro-preview,2026-09-03,21:45:39,ok,200,04-respostas-llms/gemini/medio/CT13_gemini.raw.txt,04-respostas-llms/gemini/medio/CT13_gemini.test.js,
CT14,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:29:15,ok,200,04-respostas-llms/chatgpt/medio/CT14_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT14_chatgpt.test.js,
CT14,medio,Claude,claude-sonnet-5,2026-09-03,20:48:42,ok,200,04-respostas-llms/claude/medio/CT14_claude.raw.txt,04-respostas-llms/claude/medio/CT14_claude.test.js,
CT14,medio,Gemini,gemini-3.1-pro-preview,2026-09-03,22:30:03,ok,200,04-respostas-llms/gemini/medio/CT14_gemini.raw.txt,04-respostas-llms/gemini/medio/CT14_gemini.test.js,
CT15,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:29:31,ok,200,04-respostas-llms/chatgpt/medio/CT15_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT15_chatgpt.test.js,
CT15,medio,Claude,claude-sonnet-5,2026-09-03,20:48:58,ok,200,04-respostas-llms/claude/medio/CT15_claude.raw.txt,04-respostas-llms/claude/medio/CT15_claude.test.js,
CT15,medio,Gemini,gemini-3.1-pro-preview,2026-09-03,22:01:42,ok,200,04-respostas-llms/gemini/medio/CT15_gemini.raw.txt,04-respostas-llms/gemini/medio/CT15_gemini.test.js,
CT16,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:29:46,ok,200,04-respostas-llms/chatgpt/medio/CT16_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT16_chatgpt.test.js,
CT16,medio,Claude,claude-sonnet-5,2026-09-03,20:49:13,ok,200,04-respostas-llms/claude/medio/CT16_claude.raw.txt,04-respostas-llms/claude/medio/CT16_claude.test.js,
CT16,medio,Gemini,gemini-3.1-pro-preview,2026-09-03,22:02:28,ok,200,04-respostas-llms/gemini/medio/CT16_gemini.raw.txt,04-respostas-llms/gemini/medio/CT16_gemini.test.js,
CT17,medio,ChatGPT,gpt-5.6-sol,2026-09-03,20:29:57,ok,200,04-respostas-llms/chatgpt/medio/CT17_chatgpt.raw.txt,04-respostas-llms/chatgpt/medio/CT17_chatgpt.test.js,
