ct,dificuldade,ChatGPT_sucesso,Claude_sucesso,Gemini_sucesso,ChatGPT_testes_executados,Claude_testes_executados,Gemini_testes_executados
CT01,facil,1,0,1,7,17,11
CT02,facil,1,0,1,6,17,9
CT03,facil,1,1,1,9,16,8
CT04,facil,1,1,1,4,17,13
CT05,facil,1,1,1,14,17,16
CT06,facil,1,1,1,9,9,14
CT07,facil,1,1,1,6,19,14
CT08,facil,1,1,1,8,9,14
CT09,facil,1,1,0,7,10,14
CT10,facil,1,1,0,13,18,8
CT11,medio,1,1,1,10,8,5
CT12,medio,1,1,1,11,9,4
CT13,medio,1,1,1,13,14,12
CT14,medio,1,1,1,13,13,11
CT15,medio,1,1,1,10,12,11
CT16,medio,1,1,1,14,13,11
CT17,medio,1,1,1,8,17,10
CT18,medio,1,1,1,7,7,6
CT19,medio,1,1,1,6,6,5
CT20,medio,1,0,1,4,7,4
CT21,dificil,1,0,1,4,15,6
CT22,dificil,1,1,1,7,9,6
CT23,dificil,1,1,1,10,13,11
CT24,dificil,1,1,0,4,7,5
CT25,dificil,1,1,1,5,8,2
CT26,dificil,1,1,1,5,8,3
CT27,dificil,0,1,1,7,9,6
CT28,dificil,1,0,0,10,0,0
CT29,dificil,1,1,0,9,9,0
CT30,dificil,1,1,0,9,15,5
