id,dificuldade,llm,modelo_versao,data_coleta,status_execucao,executou,passou,qtd_testes,qtd_passou,qtd_falhou,taxa_aprovacao,tempo_segundos,aderencia_escopo,observacao
CT01,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,7,7,0,100.00,0.548,,
CT02,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,6,6,0,100.00,0.552,,
CT03,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,9,9,0,100.00,0.562,,
CT04,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,4,4,0,100.00,0.564,,
CT05,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,14,14,0,100.00,0.556,,
CT06,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,9,9,0,100.00,0.565,,
CT07,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,6,6,0,100.00,0.575,,
CT08,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,8,8,0,100.00,0.566,,
CT09,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,7,7,0,100.00,0.559,,
CT10,facil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,13,13,0,100.00,0.548,,
CT11,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,10,10,0,100.00,0.572,,
CT12,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,11,11,0,100.00,0.543,,
CT13,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,13,13,0,100.00,0.554,,
CT14,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,13,13,0,100.00,0.436,,
CT15,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,10,10,0,100.00,0.459,,
CT16,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,14,14,0,100.00,0.567,,
CT17,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,8,8,0,100.00,0.566,,
CT18,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,7,7,0,100.00,0.567,,
CT19,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,6,6,0,100.00,0.573,,
CT20,medio,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,4,4,0,100.00,0.559,,
CT21,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,4,4,0,100.00,0.564,,
CT22,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,7,7,0,100.00,0.577,,
CT23,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,10,10,0,100.00,0.598,,
CT24,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,4,4,0,100.00,0.588,,
CT25,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,5,5,0,100.00,0.572,,
CT26,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,5,5,0,100.00,0.602,,
CT27,dificil,ChatGPT,GPT-5.6 Sol,,falha_testes,sim,nao,7,6,1,85.71,0.577,,"Error: expect(received).toBe(expected) // Object.is equality If it should pass with deep equality, replace ""toBe"" with ""toStrictEqual"" Expected: 2024-06-15T10:30:00.000Z Received: serializes to the same string at Object.toBe (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\chatgpt\dificil\CT27_chatgpt.test.js:207:40)"
CT28,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,10,10,0,100.00,0.569,,
CT29,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,9,9,0,100.00,0.574,,
CT30,dificil,ChatGPT,GPT-5.6 Sol,,sucesso,sim,sim,9,9,0,100.00,0.613,,
CT01,facil,Claude,Sonnet 5,,falha_testes,sim,nao,17,15,2,88.24,0.583,,Error: expect(received).toBe(expected) // Object.is equality Expected: 0 Received: 1 at Object.toBe (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\claude\facil\CT01_claude.test.js:32:20) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1167:40) at _runTestInContext (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\bui
CT02,facil,Claude,Sonnet 5,,falha_testes,sim,nao,17,14,3,82.35,0.581,,Error: expect(received).toBe(expected) // Object.is equality Expected: 10 Received: 11 at Object.toBe (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\claude\facil\CT02_claude.test.js:20:22) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1167:40) at _runTestInContext (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\b
CT03,facil,Claude,Sonnet 5,,sucesso,sim,sim,16,16,0,100.00,0.562,,
CT04,facil,Claude,Sonnet 5,,sucesso,sim,sim,17,17,0,100.00,0.552,,
CT05,facil,Claude,Sonnet 5,,sucesso,sim,sim,17,17,0,100.00,0.549,,
CT06,facil,Claude,Sonnet 5,,sucesso,sim,sim,9,9,0,100.00,0.555,,
CT07,facil,Claude,Sonnet 5,,sucesso,sim,sim,19,19,0,100.00,0.577,,
CT08,facil,Claude,Sonnet 5,,sucesso,sim,sim,9,9,0,100.00,0.572,,
CT09,facil,Claude,Sonnet 5,,sucesso,sim,sim,10,10,0,100.00,0.556,,
CT10,facil,Claude,Sonnet 5,,sucesso,sim,sim,18,18,0,100.00,0.568,,
CT11,medio,Claude,Sonnet 5,,sucesso,sim,sim,8,8,0,100.00,0.552,,
CT12,medio,Claude,Sonnet 5,,sucesso,sim,sim,9,9,0,100.00,0.554,,
CT13,medio,Claude,Sonnet 5,,sucesso,sim,sim,14,14,0,100.00,0.565,,
CT14,medio,Claude,Sonnet 5,,sucesso,sim,sim,13,13,0,100.00,0.553,,
CT15,medio,Claude,Sonnet 5,,sucesso,sim,sim,12,12,0,100.00,0.566,,
CT16,medio,Claude,Sonnet 5,,sucesso,sim,sim,13,13,0,100.00,0.563,,
CT17,medio,Claude,Sonnet 5,,sucesso,sim,sim,17,17,0,100.00,0.587,,
CT18,medio,Claude,Sonnet 5,,sucesso,sim,sim,7,7,0,100.00,0.601,,
CT19,medio,Claude,Sonnet 5,,sucesso,sim,sim,6,6,0,100.00,0.594,,
CT20,medio,Claude,Sonnet 5,,falha_testes,sim,nao,7,0,7,0.00,0.580,,Error: expect(jest.fn()).toHaveBeenCalledTimes(expected) Expected number of calls: 1 Received number of calls: 0 at Object.toHaveBeenCalledTimes (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\04-respostas-llms\claude\medio\CT20_claude.test.js:19:19) at Promise.finally.completed (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1834:28) at new Promise (<anonymous>) at callAsyncCircusFn (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1774:10) at _callCircusTest (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-testes\05-execucao\node_modules\jest-circus\build\jestAdapterInit.js:1167:40) at _runTestInContext (C:\Users\fcrs1524\Desktop\Pós em Full Stack\Engenharia de Software\tcc-avaliacao-llms-te
